Name,Logo,City,Region,Continent,Link,LatLong
Methodology,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/93273953_100468384971585_7049922339433086976_n.jpg?_nc_cat=105&ccb=2&_nc_sid=dbb9e7&_nc_ohc=a28EZ51pQ4kAX8rm93P&_nc_ht=scontent-lga3-2.xx&oh=5232c91644e98d86129dc7a3b99d5391&oe=5FC2B78D,Sydney,Australia,Oceania,https://www.instagram.com/methodologycoffee/?hl=en,"-33.786641, 151.103012"
Reformatory Caffeine Lab,https://cdn.shopify.com/s/files/1/1181/2034/t/4/assets/logo.png?v=13660479730406455108,Sydney,Australia,Oceania,http://www.thereformatorylab.coffee/,"-33.884260, 151.210052"
Reuben Hills ,http://static1.squarespace.com/static/57da2c0de58c627633847c53/t/5f27858f9526e63b9bb71e5c/1603343928009/?format=1500w,Sydney,Australia,Oceania,http://reubenhills.com.au/,"-33.882883, 151.211030"
Sample,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/p960x960/91475259_2746330335444977_1307348140361252864_o.jpg?_nc_cat=100&ccb=2&_nc_sid=dbb9e7&_nc_ohc=Ni4FV0eQPfEAX-GGTU5&_nc_ht=scontent-lga3-2.xx&tp=6&oh=3143b9fe24c92926568840fe4f74bbd0&oe=5FC45448,Sydney,Australia,Oceania,https://samplecoffee.com.au/,"-33.886687, 151.209183"
Single O,https://singleo.com.au/site/wp-content/themes/petro-V3/images/logo-header.svg,Sydney,Australia,Oceania,http://singleo.com.au/,"-33.881131, 151.209641"
Stitch,https://cdn.shopify.com/s/files/1/0082/9787/3479/files/logo_200x.jpg?v=1592984422,Sydney,Australia,Oceania,http://stitch.coffee/,"-33.903128, 151.196292"
The Little Marionette,https://static1.squarespace.com/static/5d7acb7fb009da3f0db00610/t/5d7b1f3d1e863d5ff60740ac/1603941091109/?format=1500w,Sydney,Australia,Oceania,https://thelittlemarionette.com/,"-33.885469, 151.211194"
Eighthirty Coffee Roasters,https://cdn.shopify.com/s/files/1/0738/6167/t/6/assets/logo.png?v=12904688564377496299,Auckland,New Zealand,Oceania,https://www.eighthirty.com/,"-36.856146, 174.746420"
Eighthirty Coffee Roasters,https://cdn.shopify.com/s/files/1/0738/6167/t/6/assets/logo.png?v=12904688564377496299,Auckland,New Zealand,Oceania,https://www.eighthirty.com/,"-36.846386, 174.771979"
The Flight Coffee Hangar,https://cdn.shopify.com/s/files/1/0104/2682/files/Flight_Coffee_Logo_100x.png?v=1600300302,Wellington,New Zealand,Oceania,https://flightcoffee.co.nz/collections/all-products,"-41.293299, 174.774002"
Revelator,https://cdn.shopify.com/s/files/1/1907/0145/files/REVELATOR_Logo_2017_Black_1000x1000_1881a376-6466-4115-bc9d-4f0c99114a93_150x.png?v=1595016977,Birmingham,Alabama,North America,https://revelatorcoffee.com/,"33.515539, -86.808816"
Analog Coffee,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/27459593_1621231447962209_3769594740937883985_n.jpg?_nc_cat=107&ccb=2&_nc_sid=dbb9e7&_nc_ohc=izVU1VUC4xQAX99fEj6&_nc_ht=scontent-lga3-2.xx&oh=f8143da33dc91b6ee0767b3061dcc884&oe=5FC35697,Calgary,Alberta,North America,http://www.analogcoffee.ca/,"51.037925, -114.079201"
Monogram Coffee,https://cdn.shopify.com/s/files/1/0702/0489/files/checkout_logo_2_127x100.png?v=1471101195,Calgary,Alberta,North America,https://monogramcoffee.com/,"51.049060, -114.067174"
Phil And Sebastian,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/321416_10151218053947344_784699392_n.png?_nc_cat=108&ccb=2&_nc_sid=dbb9e7&_nc_ohc=iEfDOe-uy7sAX_Hp_fK&_nc_ht=scontent-lga3-2.xx&oh=5134ff744623d84072ff1e9021734735&oe=5FC39BD3,Calgary,Alberta,North America,https://philsebastian.com/,"51.048833, -114.069381"
Ace,https://cdn.shopify.com/s/files/1/2657/1814/files/ACE_full-logo-blue-red_400x200.jpg?v=1584902651,Edmonton,Alberta,North America,http://www.acecoffeeroasters.com/,"53.515766, -113.490727"
Rogue Wave,https://cdn.shopify.com/s/files/1/0042/0773/8992/files/rw-logo-horizontal-black-RGB_x75.jpg?v=1576532433,Edmonton,Alberta,North America,http://www.roguewavecoffee.ca/,"53.563193, -113.527499"
Transend,https://cdn.shopify.com/s/files/1/0150/8071/8384/files/logo_color_small_500x.png?v=1551719976,Edmonton,Alberta,North America,http://www.transcendcoffee.ca/,"53.512657, -113.476381"
Peixoto Coffee Roasters,https://peixotocoffee.com/wp-content/uploads/2016/05/HeaderLogo.png,Chandler,Arizona,North America,http://www.peixotocoffee.com/,"33.301937, -111.841704"
Cartel Coffee Lab,https://cdn.shopify.com/s/files/1/1491/1422/t/19/assets/cartelbadge.svg?v=4813359995459447174,Phoenix,Arizona,North America,http://www.cartelcoffeelab.com/,"33.448502, -112.072363"
Press Coffee,https://cdn.shopify.com/s/files/1/0247/6146/6916/files/logo_2x_9290d83f-1ff8-486e-bea5-fa81f4a455d2_360x.png?v=1572264851,Phoenix,Arizona,North America,https://www.presscoffee.com/,"33.581700, -112.012556"
Airship,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/118777219_10157643822202469_6978186899006302972_n.png?_nc_cat=106&ccb=2&_nc_sid=dbb9e7&_nc_ohc=lsjc2ObbXjIAX_xD_jd&_nc_ht=scontent-lga3-2.xx&oh=8a0188eaf2bd6b1556329e554857914d&oe=5FC54069,Bentonville,Arkansas,North America,http://airshipcoffee.com/,"36.367041, -94.198186"
Onyx,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/95028596_3661570290583865_7173974756016783360_n.jpg?_nc_cat=108&ccb=2&_nc_sid=dbb9e7&_nc_ohc=3bUxUHjBE94AX_1pUnd&_nc_ht=scontent-lga3-2.xx&oh=25154f7b6e3dd751a733d506ec5445ab&oe=5FC2FEC6,Fayetteville,Arkansas,North America,https://onyxcoffeelab.com/pages/fayetteville,"36.095615, -94.160147"
Blue Sail Coffee,https://cdn.shopify.com/s/files/1/2513/6910/files/Blue_Sail_Primary_Logo-_Light_x100.png?v=1585849131,Little Rock,Arkansas,North America,http://www.bluesail.coffee/,"34.744431, -92.270890"
